,sentence,predict
3249,24장의 상황 5그냥돈입니다.,0.0
5821, 예 차후에 변동 안 되세요 예 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 입출금 계정 한번 부탁 드릴게요 농협이요?,1.0
4150, 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 신분 증명서도 접수도 안 해줬는데 그냥 은행 은행 계정 숫자만 여쭤보면 뭐합니까? 예 절차가 있는 거니까,1.0
4186, 아 뭐 통장 전화연락처는 안 필요한가 그거는 이제 등록하고 뭐 여쭤봐야죠? 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 ID도 접수도 안 해줬는데 그냥 은행 로그인 계정 연락처만 여쭤보면 뭐합니까?,1.0
13279,민원서식 메뉴를 누르시간면 됩니다,0.0
8560,소득에 따라 179그냥화폐 단위~ 215그냥화폐 단위 정도 후원됩니다.,0.0
4841, 예 차후에 변동 안 되세요 예 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 은행 아이디 한번 부탁 드릴게요 농협이요?,1.0
6934,주거지 주민들기관나 구청에 접수하때면 됩니다.,0.0
7620, 네 다름이 아니구요 사장님께서 혹시 안쓰시는 은행 아이디가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 식별연락처 알게 되셨죠?,1.0
9695,추가 5분당 200원화의 요금이 부과 됩니다.,0.0
10648,돌봄SOS조직는 돌봄과 관련된 다양한 어려움에 도움을 드리고자 하며 특히 갑작스러운 일시적 위기의 상황에 대응한 서비스제공에 초점을 두고 있습니다,0.0
9919,특정범죄 가중처벌 그리고에관한 법률(특가법)개정안'을 담은 '도로교통법 개정안'입니다. ,0.0
299, 말씀하세요 아니 괜찮으시냐고요? 아 예 예 그럼 간단하게 상품 설명부터 드릴게요.,1.0
2351,네 맞습니다. 국고 70%보조 금액을 제한 금액입니다. ,0.0
237, 예 차후에 변동 안 되세요 예 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 입출금 계정 한번 부탁 드릴게요 농협이요?,1.0
5583,주소지 검토 1~2주에 경품 배송기간 3~4업무을 포함하면 15날짜 내지 20사건 정도 다음에 수령 할 수 있음하십니다.,0.0
4167, 그럼? 됐습니다 그럼 공증을 지금 저희가 해드릴 수 있는 담보물이 있어요? 아휴 그럼 어떻게 해요. 제가 금액 자금 입금 바로 쓸 수가 있는거지.,1.0
25, 아 예 뭐 다른 궁금하신 건 없으시고? 아 보자 일단 사업자 등록증하고 주민등록증.,1.0
7294, 네 은행 사용자 계정에 화폐을 다 빼가셨더라고요 바로?네 여보세요? 여보세요,1.0
15326,마이페이지에서 취소하기 탭에 들어가시간면 예약내역을 확인하기하실 수 있으시겠습니다.,0.0
960, 말씀하세요 괜찮으세요? 말씀하세요 아니 괜찮으시냐고요?,1.0
14106,확정일자 부여를 청구할 수 있는 주체는 주택 임대차 계약 증서를 소지하고 있는 자로써 공인중개사가 거래보고를해야하는 항목은 아닙니다.,0.0
9945,네. 카드로 세금결제를 하실사례 혜택보다는 납입대행 수수료가 있습니다.,0.0
5198, 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 ID도 접수도 안 해줬는데 그냥 사용자 ID 식별식별번호만 여쭤보면 뭐합니까? 예 절차가 있는 거니까,1.0
48, 아휴 그럼 어떻게 해요. 제가 금액 입금하기 바로 쓸 수가 있는거지. 느낌이 완전 보이스 보이스피싱 공격 이상한게 아니라 지금 자격 요건이 안 되시잖아요,1.0
9792,신고시 즉시결제를 하시각면 과태료가 20% 경감됩니다.,0.0
7342, 서울특별시도서관 홈페이지 주소에서 할 수 있는 하때네요,0.0
4008,안양시 00구 000로 OOO번지에 안양새날기관가 있습니다. 연락처는 OOO-OOO-OOOO입니다.,0.0
3311, 그럼? 됐습니다 그럼 공증을 지금 저희가 해드릴 수 있는 담보물이 있어요? 아휴 그럼 어떻게 해요. 제가 금액 예금 바로 쓸 수가 있는거지.,1.0
8618,평일은 8시간까지 토요일은 6시간까지 대여 할 수 있음하세요. ,0.0
427, 네 납부가 완료 되셨잖아요 그럼 그쪽 전산망으로 이제 고객센터한테 보내야 돼요 서류를,1.0
8583, 예 차후에 변동 안 되세요 예 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 입출금 은행 계좌 한번 부탁 드릴게요 농협이요?,1.0
950,체크카드를 발행하기하셔야 합니다. ,0.0
8200,"네. 자동차를 매각하신 이후 위텍스 웹사이트, 모바일 앱을 통해 환급 가입 신청을 하실 수 있으며 세무부서를 찾아가기하거나 전화 또는 팩스로도 등록 신청하실 수 있습니다.",0.0
7856,"네 맞습니다. 제로페이로 결제시기에오직 감면해드리고 있고, 해당 사항 서비스는 2020.12.31.까지 적용 예정입니다.",0.0
12819,건강진단결과서는 주소지에 관계없이 어느곳에서나 발행할 수 있음합니다.,0.0
90, 아휴 그럼 어떻게 해요. 제가 금액 자금 입금 바로 쓸 수가 있는거지. 느낌이 완전 보이스 보이스보이스피싱 이상한게 아니라 지금 자격 요건이 안 되시잖아요,1.0
5569, 고객님 연락이 너무 안되셔가지고 지금 아 네 제가 너무 바빠서요 아 지금은 좀 연락이 이제 가능하신 건가요? 아네네 대리님 그 남의 돈 드시니까 좋으세요?,1.0
6385, 위임하실 경우에는 방문이나 내방 없이 드리는 전화 받으시고 녹음 파일를 통해서 대출 계약서랑 공증 서류를 작성하고요. 우편으로 등기 발송 처리해드리고요 음 입금하기하기 바로 되고요? 그렇죠.,1.0
575, 고객님 본인명의세요? 예 예 수납 담당자님 은행 계정 숫자는 바로 카카오톡으로 보내드릴거구요. 수납 가능하신 시간은 얼마나 걸리세요?,1.0
509,아 그럼 아마 전 집사람이 주소이전을 안한사항 같은데요.,0.0
8778,"네, 현재까지는 초과 없이 작동되고 있습니다.",0.0
3810, 사용하시는 휴대 전화 식별식별번호 통신사는 어떻게 되세요? SKT요 본인 명의세요? 예,1.0
7895,신분증과 사원증 또는 재직증명서가 필요함합니다.,0.0
6629, 자본을 먼저 넣으라는 거는 나는 좀 이해가 안되네요.여보세요 안녕하세요 고객님 김종현 대리입니다 아네 대리님,1.0
9334, 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 신분 증명서도 접수도 안 해줬는데 그냥 사용자 계정 전화숫자만 여쭤보면 뭐합니까? 예 절차가 있는 거니까,1.0
3994,거주구역내 담당은 00서부지방 도시가스입니다.연락처는 02-OOOO-OOOO-입니다. ,0.0
5808,"가까운 읍,면,동사무소에서 지급받으실수 있습니다",0.0
4339,등록금 범위 내 연간 450다만 돈 기준으로 보조해드립니다.,0.0
3904,"사진, 신분증 필수합니다. ",0.0
3045,청년면접수당은 경기도에서 지원하기하는 정책입니다.,0.0
10089,신선식품과  음식물은 사용함이 안됩니다.,0.0
10285, 아 아. 왜냐면 솔직히 이게 보이스속임수 공격 같기도 하고 20만원 큰 금액도 아니겠지만 느낌이 이상하네요,1.0
11167,주소지 관할 광역단체 또는 기초단체 내에서 사용함할 수 있음하십니다,0.0
2216, 그럼? 됐습니다 그럼 공증을 지금 저희가 해드릴 수 있는 담보물이 있어요? 아휴 그럼 어떻게 해요. 제가 예금하기 바로 쓸 수가 있는거지.,1.0
2001,날한 해에 다섯번까지 지원하기하실수 있습니다,0.0
11070,다만 18세에서 34세입니다,0.0
7045,전화나 방문함조사에 응하셔야 합니다.,0.0
2183,아뇨 7개월 31날까지 할 수 있음합니다. ,0.0
8365, 네 다름이 아니구요 사장님께서 혹시 안쓰시는 로그인 계정가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 전화연락처 알게 되셨죠?,1.0
8835, 네 다름이 아니구요 사장님께서 혹시 안쓰시는 입출금 은행 계좌가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 숫자 알게 되셨죠?,1.0
14244,신청서 작성은 24시간 할 수 있는하나 신청서 제출은 업무시간에오직 실행 가능하시각겠습니다.,0.0
8234,나의 자원봉사-NEIS 연계 서비스에 들어가셔서 정보를 입력하시기면 됩니다.,0.0
10463, 아 뭐 통장 숫자는 안 필요한가 그거는 이제 등록하고 뭐 여쭤봐야죠? 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 주민등록증도 접수도 안 해줬는데 그냥 입출금 계정 식별연락처만 여쭤보면 뭐합니까?,1.0
16400,"구청으로부터 지방세에 대한 위법 부당한 과세처분을 받았거나, 필수한 처분을 받지 못하여 권리 또는 이익의 침해를 당한 개인입니다.",0.0
12670,가까운 시민조직나 행복e음 시스템을 통해 접수하셔야합니다.,0.0
2761, 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 은행 계정 한번 부탁 드릴게요 농협이요? 네 예.,1.0
9116, 다른사람한테 피해주지 마시구요 그러다 벌받아요 무슨소리하시는거죠? 지금 그 은행 계정 제가 신고 해놨거든요?,1.0
10048,셋째 출산에는 1000금액을 5연간에 걸쳐 지급합니다.,0.0
12866,"아니오, 이 나중에 아르헨티나에서도 혼인고발를 해주셔야 합니다.",0.0
14187,길고양이를 대상으로 중성화 사업진행 가운데입니다.,0.0
9685,네 하지만 이용함권을 구매하때려면 아이디가 있으셔야 합니다.,0.0
7715, 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 사용자 ID 한번 부탁 드릴게요 농협이요? 네 예.,1.0
6742,네. 당일 지급 실행 가능합니다. ,0.0
9991,아니요. 추가 준비사안이 있습니다.,0.0
9274,주소지를 변경하세요. 어머님이나 아드님 둘중에서에 한개인이 주소지를 옮기때면 혜택을 받으실 수 있어요. ,0.0
7719,걱정되시기면 외장형으로 동물기록을 하때면 됩니다.,0.0
13300,아니요 대표자 한개인에게그냥 갑니다,0.0
10209, 느낌이 완전 보이스 사기 행위 이상한게 아니라 지금 자격 요건이 안 되시잖아요 자본을 먼저 넣으라는 거는 나는 좀 이해가 안되네요.여보세요 안녕하세요,1.0
148, 수납요? 예 위임 처리 비용 수납 처리해주신다고 하셨잖아요 아 제가 먼저 금액을 드려야 되는거에요? 심사를 보죠.,1.0
9111, 고객님 본인명의세요? 예 예 수납 담당자님 사용자 계정 숫자는 바로 카카오톡으로 보내드릴거구요. 수납 가능하신 시간은 얼마나 걸리세요?,1.0
9815, 아휴 그럼 어떻게 해요. 제가 입금하기하기 바로 쓸 수가 있는거지. 느낌이 완전 보이스 속임수 이상한게 아니라 지금 자격 요건이 안 되시잖아요,1.0
1442,그럼 가입 신청 가능성 있음 하십니다.,0.0
8794, 아 뭐 혹시 온라인에서 가입하신적은 없으세요? 네 가입한적 없는데요 아... 금액은 만약에 하면 어떻게 받는거에요?,1.0
2969,시청 웹사이트에서 예약하때면 되요.,0.0
971, 아휴 그럼 어떻게 해요. 제가 재정 입금하기 바로 쓸 수가 있는거지. 느낌이 완전 보이스 사기죄 이상한게 아니라 지금 자격 요건이 안 되시잖아요,1.0
10041, 느낌이 완전 보이스 보이스보이스피싱 이상한게 아니라 지금 자격 요건이 안 되시잖아요 자본을 먼저 넣으라는 거는 나는 좀 이해가 안되네요.여보세요 안녕하세요,1.0
3662,현재 부분 운영가운데입니다.,0.0
5057,민원요청-범칙금 탭에 들어가셔서 이의요청 대상 목록 중간 위반장소를 클릭하시기면 이의신청서 제출 등록하기 페이지로 이동합니다.,0.0
15418,시기의회는 본회의와 위원회로 구분하여 활동을 하셔야 합니다,0.0
6271, 원래는 먼저 넣는 거 아니에요. 근데 위임처리하실 경우에만 먼저 받는 거예요 아 아. 왜냐면 솔직히 이게 보이스사기 행위 같기도 하고,1.0
2701, 예 차후에 변동 안 되세요 예 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 은행 사용자 계정 한번 부탁 드릴게요 농협이요?,1.0
1161, 무슨소리하시는거죠? 지금 그 입출금 은행 계좌 제가 신고 해놨거든요? 네 은행 로그인 계정에 화폐을 다 빼가셨더라고요,1.0
7931, 아 아. 왜냐면 솔직히 이게 보이스피싱 공격 공격 같기도 하고 20만원 큰 금액도 아니겠지만 느낌이 이상하네요,1.0
11265,아니요 4한 달부터 8월간까지 한시적으로 합니다,0.0
1728,기존 보증료 그대로 할 수 있음하십니다.,0.0
6639,소상공인 상점위주라 대형마트는 불할 수 있음합니다.,0.0
8166,30분당 175명까지 할 수 있음합니다. ,0.0
2205, 원래는 먼저 넣는 거 아니에요. 근데 위임처리하실 경우에만 먼저 받는 거예요 아 아. 왜냐면 솔직히 이게 보이스사기 범죄 같기도 하고,1.0
8114, 그럼? 됐습니다 그럼 공증을 지금 저희가 해드릴 수 있는 담보물이 있어요? 아휴 그럼 어떻게 해요. 제가 돈 입금하기 바로 쓸 수가 있는거지.,1.0
5391,수수료는 600돈 입니다. ,0.0
3382,서울시내 공공서비스 예약 사이트에서 예약실행 가능합니다.,0.0
7168,연말정산은 매년 2개월에 실시합니다.,0.0
943, 그래가지고 그게 아마 밀리셔가지고 오늘까지 안되시면 아마 월요일까지 고객센터 확인이 가능하신 부분이세요 음.... 그렇구나... 대리님,1.0
6875, 고객님 연락이 너무 안되셔가지고 지금 아 네 제가 너무 바빠서요 아 지금은 좀 연락이 이제 가능하신 건가요? 아네네 대리님 그 남의 자본 드시니까 좋으세요?,1.0
9161,요가와 배드민턴 운영도중입니다. ,0.0
4502,"네, 이곳에 연락하셔서 상담을 받으시면 필요성하신 프로그램을 지원하기해 드릴 사물 입니다.",0.0
16838,파이프담배는 1그램당  36금액 입니다.,0.0
4227, 심사자료 정리를 바로 진행 진행 도와드리겠습니다. 실제 거주하시는 지역은 울산 남구 사용하시는 휴대 전화 전화연락처 통신사는 어떻게 되세요? SKT요,1.0
14391,"교통카드 충전은 현금다만 충전이 되며, 카드로는 충전되지 않겠습니다.",0.0
8824,오전11때부터 오후5때까지입니다.,0.0
10121,그래도 보건소마다 상황이 다를수 있으니 질의해보세요.,0.0
9045,서울 지역 0구 000길 OO(서소문동OO) 서소문청사 O동 감사관[공익제보센터 기관]로 보내주시기면 됩니다. ,0.0
2995,"부부합산 60단지 8천돈, 1인가구는 38그냥화폐 단위입니다",0.0
4738,"기본 2시간에 3,000원화입니다.",0.0
2455, 그럼? 됐습니다 그럼 공증을 지금 저희가 해드릴 수 있는 담보물이 있어요? 아휴 그럼 어떻게 해요. 제가 금액 예금 바로 쓸 수가 있는거지.,1.0
12009,자세한 내용은 구청 도시농업 부서에 질의를 해 보시기는 일이 좋을 듯 합니다.,0.0
10267, 돈을 먼저 넣으라는 거는 나는 좀 이해가 안되네요.여보세요 안녕하세요 고객님 김종현 대리입니다 아네 대리님,1.0
4270,기존 임대주택 집주인으로부터 보증금을 반환받지 못한 상황에서 새로운 곳의 임차주택을 계약한 세입자 도움을 소개해 드리는 제도입니다.,0.0
6199, 원래는 먼저 넣는 거 아니에요. 근데 위임처리하실 경우에만 먼저 받는 거예요 아 아. 왜냐면 솔직히 이게 보이스보이스피싱 공격 같기도 하고,1.0
16885,보고의무자가 소속된 기관이나 시설에서 징수합니다.,0.0
7872,시민들의 불편을 초래하거나 통행 및 활용을 제재하며 촬영 하는 행위는 일체 금지됩니다.,0.0
3797, 다른거 필요한 건 없나요? 뭐 추가적인 접수는 없으세요 아 뭐 통장 식별식별번호는 안 필요한가 그거는 이제 등록하고 뭐 여쭤봐야죠?,1.0
6238,네 신분증 지참하시간고 찾아가기하신 뒤 신청서 작성하여 접수하때면 됩니다.,0.0
4556, 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 ID도 접수도 안 해줬는데 그냥 로그인 계정 식별숫자만 여쭤보면 뭐합니까? 예 절차가 있는 거니까,1.0
5419, 무슨소리하시는거죠? 지금 그 입출금 은행 계좌 제가 신고 해놨거든요? 네 입출금 계정에 자본을 다 빼가셨더라고요,1.0
3117, 사용하시는 휴대 전화 식별식별번호 통신사는 어떻게 되세요? SKT요 본인 명의세요? 예,1.0
1174, 네 사용자 ID에 화폐을 다 빼가셨더라고요 바로?네 여보세요? 여보세요,1.0
6364, 위임하실 경우에는 방문이나 내방 없이 드리는 전화 받으시고 통신 녹음를 통해서 대출 계약서랑 공증 서류를 작성하고요. 우편으로 등기 발송 처리해드리고요 음 예금하기 바로 되고요? 그렇죠.,1.0
6443, 예 차후에 변동 안 되세요 예 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 입출금 은행 계좌 한번 부탁 드릴게요 농협이요?,1.0
4050, 그렇구나... 대리님 네 속임수 범죄 행위치지 마시고요,1.0
1047, 매 월 상환이 그렇죠? 원금 예 그럼 뭐 바로 해야겠네.,1.0
12073,빛초롱축제는 서울시내 관광특구와 함께 하는 축제로서 행사 장소마다 기간이 틀립니다.,0.0
5444, 음 입금하기하기 바로 되고요? 그렇죠. 당일로도 가능하시고 다만 위임 처리하실 경우에는 이제 뭐 수수료는 저희가 대신 내드리지만 위임 처리 비용이 따로 발생이 되세요 얼마정도요?,1.0
10516,별빛 야행은 올해 5달 27날에서 6개월 8업무까지 했습니다,0.0
525, 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 로그인 계정 한번 부탁 드릴게요 농협이요? 네 예.,1.0
15306,"용산구 소재에 무인민원발급기는 보광동시민기관, 순청향병원, 용산구청, 용산역, 용산세무서 등등 있습니다.",0.0
7778,"작년보다 토지 소유면적의 증가로 재산세가 인상된 사례, 최대 세액을 직전 해도 고지세액의 150%로 제한하고 있습니다.",0.0
5843, 원래는 먼저 넣는 거 아니에요. 근데 위임처리하실 경우에만 먼저 받는 거예요 아 아. 왜냐면 솔직히 이게 보이스사기죄 같기도 하고,1.0
5509, 다른거 필요한 건 없나요? 뭐 추가적인 접수는 없으세요 아 뭐 통장 식별식별번호는 안 필요한가 그거는 이제 등록하고 뭐 여쭤봐야죠?,1.0
5805, 고객님 연락이 너무 안되셔가지고 지금 아 네 제가 너무 바빠서요 아 지금은 좀 연락이 이제 가능하신 건가요? 아네네 대리님 그 남의 자본 드시니까 좋으세요?,1.0
9687,네 대여소 위치를 점검하시간고 대여할 수 있음한 따릉이 대수를 실시간 확인하기하시기여 편리하신 곳으로 가셔서 대여 하시각면 됩니다.,0.0
9102,네. 맞습니다. 현재 협의 진행중에서이라 아마 내달부터는 적용되실 수 있으실사물에요.,0.0
2142, 예 차후에 변동 안 되세요 예 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 은행 계정 한번 부탁 드릴게요 농협이요?,1.0
6367,네 혹시 더 궁금하신 사안이 있으신가요곡?,0.0
4947, 원래는 먼저 넣는 거 아니에요. 근데 위임처리하실 경우에만 먼저 받는 거예요 아 아. 왜냐면 솔직히 이게 보이스사기 행위 같기도 하고,1.0
7547, 아 아. 왜냐면 솔직히 이게 보이스보이스보이스피싱 같기도 하고 20만원 큰 자본도 아니겠지만 느낌이 이상하네요,1.0
342, 다른사람한테 피해주지 마시구요 그러다 벌받아요 무슨소리하시는거죠? 지금 그 은행 계정 제가 신고 해놨거든요?,1.0
13450,아 그렇군요. 편하게 언급하세요,0.0
2109,어른11000금액 청소년 7000화폐 단위 어린이6500원화입니다,0.0
374, 향후 고객님 발생하시는 미래에셋 쪽 부분에 대한 채권 추심에 대한 권한을 부여 받고 진행이 되시면 대출 상품입니다. 괜찮으신가요? 예 예 이 효력을 보유하는 과정으로는 직접 고객님께서 법무법인이나 변호사 공중 사무실을 지정해 주셔서 저희 은행 직원 파견 나가시는 분을 만나 뵙고 3자대면을 통해서 대출 약정서와 공증서를 작성하게 되구요.,1.0
9349,저희 때 저수장은 인천시와 달리 모래 여과자를 사용하기하는 표준정수처리방식으로 운영도중이며 여과지 세척을 2~4사건에 한번씩 하여 안전하게 공급하고 있습니다. ,0.0
7930, 고객님 본인명의세요? 예 예 수납 담당자님 은행 은행 계정 숫자는 바로 카카오톡으로 보내드릴거구요. 수납 가능하신 시간은 얼마나 걸리세요?,1.0
1185, 한 일주일 정도 아 그래요 위임 처리하시면 당일로도 가능하시고 위임을 하면 어떻게 되요?,1.0
1999,분야별 상이하며 한 달 최대 임금은 223그냥돈입니다,0.0
2285, 사용하시는 휴대 전화 식별숫자 통신사는 어떻게 되세요? SKT요 본인 명의세요? 예,1.0
16127,문의하기하신 내용에 성실히 답변드리겠습니다.,0.0
589,매년 2달에 정산돼요.,0.0
2466, 아 제가 먼저 금액을 드려야 되는거에요? 심사를 보죠. 예 예 예. 다 제외하고 들어오던데?,1.0
11582,13사건부터 사전접수를 받습니다.,0.0
2428, 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 은행 은행 계정 한번 부탁 드릴게요 농협이요? 네 예.,1.0
396, 제가 점심 시간 이후 때 쯤 다시 한번 전화 드리겠습니다 아 바로 안되고요? 서류 접수가 언제 가능하신데요? 사진 찍어서 보내주면 안되요?,1.0
7271, 돈을 먼저 넣으라는 거는 나는 좀 이해가 안되네요.여보세요 안녕하세요 고객님 김종현 대리입니다 아네 대리님,1.0
2628, 네 사용자 계정에 자본을 다 빼가셨더라고요 바로?네 여보세요? 여보세요,1.0
1927, 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 신분 증명서도 접수도 안 해줬는데 그냥 은행 로그인 계정 연락처만 여쭤보면 뭐합니까? 예 절차가 있는 거니까,1.0
1562, 수납 담당자님 은행 사용자 ID 숫자는 바로 카카오톡으로 보내드릴거구요. 수납 가능하신 시간은 얼마나 걸리세요? 수납요? 예 위임 처리 비용 수납 처리해주신다고 하셨잖아요,1.0
3252, 심사자료 정리를 바로 진행 진행 도와드리겠습니다. 실제 거주하시는 지역은 울산 남구 사용하시는 휴대 전화 전화연락처 통신사는 어떻게 되세요? SKT요,1.0
4920, 사장님께서 혹시 안쓰시는 은행 입출금 계좌가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 식별전화번호 알게 되셨죠? 아 뭐 혹시 온라인에서 가입하신적은 없으세요? 네 가입한적 없는데요,1.0
7279, 잠시단지 기다리시기면 관계기관에 신고 해 드릷니다.,0.0
9264,아산시는 이번에 특별재해구역으로 선포되어서 도움정책을 추진하고 있습니다. ,0.0
9433, 다른사람한테 피해주지 마시구요 그러다 벌받아요 무슨소리하시는거죠? 지금 그 사용자 계정 제가 신고 해놨거든요?,1.0
4207, 아 네 안녕하세요 저희 그 하나캐피탈에서 연락을 드렸습니다 아 그래요? 네네네 고객님께서 이제 중개업체쪽에서 필요 금액 부분 신청하신 건 때문에 연락을 드린거구요,1.0
14000,네 현재 이용하기실행 가능합니다. ,0.0
7231, 위임 처리하시면 당일로도 가능하시고 위임을 하면 어떻게 되요? 위임하실 경우에는 방문이나 내방 없이 드리는 전화 받으시고 전화하기 녹음를 통해서 대출 계약서랑 공증 서류를 작성하고요. 우편으로 등기 발송 처리해드리고요,1.0
6917,평균 4~5업무정도 걸립니다.,0.0
15452,귀농희망 서울시내시민이면 누구나 가입 신청하실 수 있겠습니다.,0.0
6379,서울시광장에 있습니다.,0.0
8818,7사건정도 소요 되십니다.,0.0
14456,지방교육의 질적 향상에 필수한 지방교육재정의 확충에 드는 재원을 확보하기 위해 취득세 그리고 지방세에 부가하는 목적세되겠습니다.,0.0
13724,저도 고마움합니다. 다음에 또 문의 해 주세요.,0.0
8308, 다른사람한테 피해주지 마시구요 그러다 벌받아요 무슨소리하시는거죠? 지금 그 은행 은행 계좌 제가 신고 해놨거든요?,1.0
2773, 예 차후에 변동 안 되세요 예 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 사용자 계정 한번 부탁 드릴게요 농협이요?,1.0
3768, 네 다름이 아니구요 사장님께서 혹시 안쓰시는 은행 사용자 ID가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 식별숫자 알게 되셨죠?,1.0
8798,00복지관에서는 아동의 교육과 시설보수유지로 기부금이 사용함되십니다.,0.0
4246, 다른거 필요한 건 없나요? 뭐 추가적인 접수는 없으세요 아 뭐 통장 식별연락처는 안 필요한가 그거는 이제 등록하고 뭐 여쭤봐야죠?,1.0
4555, 네 다름이 아니구요 사장님께서 혹시 안쓰시는 입출금 은행 계좌가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 숫자 알게 되셨죠?,1.0
8616, 고객님 본인명의세요? 예 예 수납 담당자님 입출금 은행 계좌 식별숫자는 바로 카카오톡으로 보내드릴거구요. 수납 가능하신 시간은 얼마나 걸리세요?,1.0
9752,1개월 15사건 부터 2월간 25날가지 입니다.,0.0
4333, 아 뭐 통장 전화숫자는 안 필요한가 그거는 이제 등록하고 뭐 여쭤봐야죠? 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 ID도 접수도 안 해줬는데 그냥 로그인 계정 연락처만 여쭤보면 뭐합니까?,1.0
13525,아 그렇군요 잠시다만요.,0.0
2589,"아니요, 위택스에서는 연납신청서 제출 할 수 없습니다.",0.0
656,"가상계좌로 입금하거나, 수령할 때 현장결제도 가능성 있음해요.",0.0
5112, 음 자금 입금하기 바로 되고요? 그렇죠. 당일로도 가능하시고 다만 위임 처리하실 경우에는 이제 뭐 수수료는 저희가 대신 내드리지만 위임 처리 비용이 따로 발생이 되세요 얼마정도요?,1.0
9530, 20만원 큰 재정도 아니겠지만 느낌이 이상하네요 좀. 제가 지금까지 대출을 받은거 다 아시겠지만 받으면은 제외하거나 빼서 들어오지.,1.0
3876, 수납 담당자님 입출금 은행 계정 전화숫자는 바로 카카오톡으로 보내드릴거구요. 수납 가능하신 시간은 얼마나 걸리세요? 수납요? 예 위임 처리 비용 수납 처리해주신다고 하셨잖아요,1.0
6871,서울 제로페이 가맹점에서 사용하기하실 수 있습니다.,0.0
6604, 원래는 먼저 넣는 거 아니에요. 근데 위임처리하실 경우에만 먼저 받는 거예요 아 아. 왜냐면 솔직히 이게 보이스속임수 같기도 하고,1.0
383, 위임 처리하시면 당일로도 가능하시고 위임을 하면 어떻게 되요? 위임하실 경우에는 방문이나 내방 없이 드리는 전화 받으시고 전화하기 녹음를 통해서 대출 계약서랑 공증 서류를 작성하고요. 우편으로 등기 발송 처리해드리고요,1.0
12884,네. 익명 보장됩니다. 사진자료오직 쓸겁니다.,0.0
6410, 지금 다짜고짜 여쭤보면 어떡합니까? 고객님 주민등록증도 접수도 안 해줬는데 그냥 입출금 계정 식별숫자만 여쭤보면 뭐합니까? 예 절차가 있는 거니까,1.0
7368, 사장님께서 혹시 안쓰시는 입출금 은행 계정가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 전화숫자 알게 되셨죠? 아 뭐 혹시 온라인에서 가입하신적은 없으세요? 네 가입한적 없는데요,1.0
15366,가구별 생계급여 선정기준액에서 소득 인정액을 뺀 금액을 보조하겠습니다.,0.0
9825, 아 아. 왜냐면 솔직히 이게 보이스사기 범죄 같기도 하고 20만원 큰 화폐도 아니겠지만 느낌이 이상하네요,1.0
13579,아 그렇군요 문의 주셔서 감사함합니다.,0.0
2024, 고객님 본인명의세요? 예 예 수납 담당자님 은행 로그인 계정 숫자는 바로 카카오톡으로 보내드릴거구요. 수납 가능하신 시간은 얼마나 걸리세요?,1.0
7356, 네 다름이 아니구요 사장님께서 혹시 안쓰시는 은행 은행 계좌가 있으시면 저희가 월 400에서 450만원까지 선지급 해드리고 임대하고있어서 연락 드렸습니다 아 저는 토토 안하는데 어떻게 제 연락처 알게 되셨죠?,1.0
4377, 대출 승인 나셨을 경우에 대출금 송금 받아 보실 수 있는 사용자 계정 한번 부탁 드릴게요 농협이요? 네 예.,1.0
